rCH1             rCH2             rCO            aH1CO           aH1CO            D                  E
1.10223200E+00  1.10223200E+00  1.20758500E+00  1.21686097E+02  1.21686097E+02  1.80000000E+02     4.99450019E-11
1.10000000E+00  1.10000000E+00  1.21000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     5.58216283E+03
1.11000000E+00  1.10000000E+00  1.21000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     4.67385236E+03
1.11000000E+00  1.11000000E+00  1.21000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     4.65434928E+03
1.10000000E+00  1.10000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     5.43514683E+03
1.10000000E+00  1.10000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     5.43514683E+03
1.09000000E+00  1.10000000E+00  1.21000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     6.61957980E+03
1.10000000E+00  1.10000000E+00  1.21000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     5.73960903E+03
1.11000000E+00  1.10000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     4.52255047E+03
1.11000000E+00  1.11000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     4.50247265E+03
1.09000000E+00  1.11000000E+00  1.21000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     6.59246636E+03
1.11000000E+00  1.10000000E+00  1.21000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     4.82062405E+03
1.10000000E+00  1.10000000E+00  1.21000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     5.61417724E+03
1.09000000E+00  1.10000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     6.47700311E+03
1.09000000E+00  1.09000000E+00  1.21000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     6.67111997E+03
1.09000000E+00  1.10000000E+00  1.21000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     6.78789994E+03
1.12000000E+00  1.10000000E+00  1.21000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     3.88678666E+03
1.11000000E+00  1.11000000E+00  1.21000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     4.80026242E+03
1.11000000E+00  1.10000000E+00  1.21000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     4.70576818E+03
1.09000000E+00  1.11000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     6.44926380E+03
1.10000000E+00  1.10000000E+00  1.20000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     5.58940928E+03
1.12000000E+00  1.11000000E+00  1.21000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     3.87088099E+03
1.09000000E+00  1.11000000E+00  1.21000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     6.75966263E+03
1.11000000E+00  1.11000000E+00  1.21000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     4.68612415E+03
1.12000000E+00  1.10000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     3.73134781E+03
1.10000000E+00  1.10000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     5.46735379E+03
1.11000000E+00  1.10000000E+00  1.20000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     4.66616478E+03
1.10000000E+00  1.10000000E+00  1.22000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     5.74136458E+03
1.10000000E+00  1.10000000E+00  1.21000000E+00  1.20000000E+02  1.24000000E+02  1.80000000E+02     5.67623283E+03
1.10000000E+00  1.10000000E+00  1.21000000E+00  1.20000000E+02  1.22000000E+02  1.76000000E+02     5.77091921E+03
1.12000000E+00  1.11000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     3.71489150E+03
1.11000000E+00  1.10000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     4.55465792E+03
1.09000000E+00  1.09000000E+00  1.21000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     6.84057160E+03
1.12000000E+00  1.09000000E+00  1.21000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     3.92723068E+03
1.11000000E+00  1.10000000E+00  1.21000000E+00  1.20000000E+02  1.24000000E+02  1.80000000E+02     4.76544355E+03
1.11000000E+00  1.11000000E+00  1.20000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     4.64529678E+03
1.11000000E+00  1.11000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     4.53443613E+03
